"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2017,7,"EV","ExpressJet Airlines Inc.","FAR","Fargo, ND: Hector International",26.00,6.00,1.88,0.00,1.58,0.00,2.55,1.00,0.00,151.00,48.00,0.00,37.00,0.00,66.00,
2017,7,"EV","ExpressJet Airlines Inc.","FAY","Fayetteville, NC: Fayetteville Regional/Grannis Field",53.00,9.00,4.89,0.00,1.28,0.00,2.82,0.00,0.00,452.00,219.00,0.00,42.00,0.00,191.00,
2017,7,"EV","ExpressJet Airlines Inc.","FNT","Flint, MI: Bishop International",3.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,94.00,0.00,0.00,0.00,0.00,
2017,7,"EV","ExpressJet Airlines Inc.","FSD","Sioux Falls, SD: Joe Foss Field",48.00,8.00,2.45,1.48,0.57,0.00,3.51,2.00,0.00,488.00,67.00,107.00,29.00,0.00,285.00,
2017,7,"EV","ExpressJet Airlines Inc.","FSM","Fort Smith, AR: Fort Smith Regional",30.00,4.00,2.38,0.00,0.00,0.00,1.62,0.00,0.00,326.00,218.00,0.00,0.00,0.00,108.00,
2017,7,"EV","ExpressJet Airlines Inc.","FWA","Fort Wayne, IN: Fort Wayne International",31.00,13.00,1.50,1.00,5.25,0.00,5.26,3.00,0.00,972.00,105.00,230.00,250.00,0.00,387.00,
2017,7,"EV","ExpressJet Airlines Inc.","GNV","Gainesville, FL: Gainesville Regional",121.00,39.00,21.87,0.00,6.23,0.00,10.90,1.00,0.00,2495.00,1692.00,0.00,192.00,0.00,611.00,
2017,7,"EV","ExpressJet Airlines Inc.","GPT","Gulfport/Biloxi, MS: Gulfport-Biloxi International",92.00,8.00,3.85,2.00,1.35,0.00,0.79,1.00,1.00,576.00,215.00,243.00,57.00,0.00,61.00,
2017,7,"EV","ExpressJet Airlines Inc.","GRB","Green Bay, WI: Green Bay Austin Straubel International",72.00,22.00,10.30,0.38,5.53,0.00,5.78,1.00,0.00,896.00,404.00,14.00,211.00,0.00,267.00,
2017,7,"EV","ExpressJet Airlines Inc.","GRI","Grand Island, NE: Central Nebraska Regional",57.00,13.00,5.43,0.00,4.02,0.00,3.55,0.00,0.00,777.00,261.00,0.00,119.00,0.00,397.00,
2017,7,"EV","ExpressJet Airlines Inc.","GRK","Killeen, TX: Robert Gray AAF",131.00,28.00,16.86,1.00,2.45,0.00,7.69,1.00,0.00,2988.00,2268.00,20.00,120.00,0.00,580.00,
2017,7,"EV","ExpressJet Airlines Inc.","GRR","Grand Rapids, MI: Gerald R. Ford International",141.00,35.00,15.80,0.00,8.34,0.00,10.87,7.00,0.00,2811.00,1456.00,0.00,259.00,0.00,1096.00,
2017,7,"EV","ExpressJet Airlines Inc.","GSO","Greensboro/High Point, NC: Piedmont Triad International",254.00,65.00,26.00,0.50,23.38,0.00,15.12,19.00,0.00,4454.00,2136.00,139.00,1016.00,0.00,1163.00,
2017,7,"EV","ExpressJet Airlines Inc.","GSP","Greer, SC: Greenville-Spartanburg International",180.00,30.00,12.82,0.00,5.23,0.00,11.95,4.00,0.00,2988.00,1727.00,0.00,180.00,0.00,1081.00,
2017,7,"EV","ExpressJet Airlines Inc.","GTR","Columbus, MS: Golden Triangle Regional",31.00,5.00,2.29,0.00,0.24,0.00,2.48,0.00,0.00,198.00,97.00,0.00,8.00,0.00,93.00,
2017,7,"EV","ExpressJet Airlines Inc.","GUC","Gunnison, CO: Gunnison-Crested Butte Regional",,,,,,,,,,,,,,,,
